	Barcodes
A?0383.00 , CV. Plainsman Amaranth	A?0383.00
Cq0298.00 , CHEN 365	Cq0298.00
Cq0299.00 , CHEN 366	Cq0299.00
Cq0300.00 , CHEN 367	Cq0300.00
Cq0301.00 , CHEN 369	Cq0301.00
Cq0302.00 , CHEN 370	Cq0302.00
Cq0303.00 , CHEN 372	Cq0303.00
Cq0304.00 , CHEN 373	Cq0304.00
Cq0305.00 , CHEN 376	Cq0305.00
Cq0306.00 , PI 614908	Cq0306.00
Cq0307.00 , PI 614934	Cq0307.00
Cq0308.00 , PI 614937	Cq0308.00
Cq0309.00 , PI 614929	Cq0309.00
Cq0310.00 , PI 614920	Cq0310.00
Cq0311.00 , Ames 22153	Cq0311.00
Cq0312.00 , Ames 22154	Cq0312.00
Cq0313.00 , Ames 22155	Cq0313.00
Cq0314.00 , Ames 22156	Cq0314.00
Cq0315.00 , Ames 22157	Cq0315.00
Cq0316.00 , Ames 22158	Cq0316.00
Cq0317.00 , Ames 22159	Cq0317.00
Cq0318.00 , Ames 22161	Cq0318.00
Cq0319.00 , Ames 26191	Cq0319.00
Cq0320.00 , PI 478410	Cq0320.00
Cq0321.00 , PI 510543	Cq0321.00
Cq0322.00 , PI 510546	Cq0322.00
Cq0323.00 , PI 587173	Cq0323.00
Cq0324.00 , Ames 13219	Cq0324.00
Cq0325.00 , Ames 13218	Cq0325.00
Cq0326.00 , Ames 13217	Cq0326.00
Cq0327.00 , Ames 13215	Cq0327.00
Cq0328.00 , Ames 19047	Cq0328.00
Cq0329.00 , PI 614886	Cq0329.00
Cq0330.00 , CICA-127	Cq0330.00
Cq0331.00 , CICA-17	Cq0331.00
Cq0332.00 , Chucapaca	Cq0332.00
Cq0333.00 , Cherry Vanilla	Cq0333.00
Cq0334.00 , <0654>	Cq0334.00
Cq0335.00 , Real	Cq0335.00
Cq0336.00 , G-205-95 DK	Cq0336.00
Cq0337.00 , Salcedo INIA	Cq0337.00
Cq0338.00 , 03-21-079BB	Cq0338.00
Cq0339.00 , RU-2	Cq0339.00
Cq0340.00 , Jujuy	Cq0340.00
Cq0341.00 , E-DK-4	Cq0341.00
Cq0342.00 , Ecu-420	Cq0342.00
Cq0343.00 , 03-21-072RM	Cq0343.00
Cq0344.00 , Kancolla	Cq0344.00
Cq0345.00 , Ratuqui	Cq0345.00
